"","Week","Canada.Goose","Wood.Duck","Mallard","Hooded.Merganser","Wild.Turkey","Double.crested.Cormorant","Great.Blue.Heron","Great.Egret","Green.Heron","Black.Vulture","Turkey.Vulture","Osprey","Mississippi.Kite","Northern.Harrier","Sharp.shinned.Hawk","Cooper.s.Hawk","Accipiter.sp.","Bald.Eagle","Red.shouldered.Hawk","Broad.winged.Hawk","Red.tailed.Hawk","hawk.sp.","American.Woodcock","Solitary.Sandpiper","Rock.Pigeon","Eurasian.Collared.Dove","Mourning.Dove","Yellow.billed.Cuckoo","Barred.Owl","Chimney.Swift","Ruby.throated.Hummingbird","Belted.Kingfisher","Red.headed.Woodpecker","Red.bellied.Woodpecker","Yellow.bellied.Sapsucker","Downy.Woodpecker","Hairy.Woodpecker","Northern.Flicker","Pileated.Woodpecker","Eastern.Wood.Pewee","Acadian.Flycatcher","Alder.Willow.Flycatcher..Traill.s.Flycatcher.","Least.Flycatcher","Empidonax.sp.","Eastern.Phoebe","Great.Crested.Flycatcher","Eastern.Kingbird","Loggerhead.Shrike"
"1",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,100,67,67,0,17,33,0,0,0,0,0,50,0,0,0
"3",3,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,29,0,0,0,0,0,14,14,71,0,0,0,0,0,0,57,57,57,14,29,0,0,0,0,0,0,14,0,0,0
"4",4,0,0,0,0,0,0,0,0,0,18,36,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,36,0,0,0,0,0,0,73,27,55,18,0,9,0,0,0,0,0,36,0,0,0
"5",5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,25,0,0,0,0,0,0,42,33,42,17,0,0,0,0,0,0,0,17,0,0,0
"6",6,38,8,0,0,0,0,23,0,0,8,15,0,0,0,0,0,0,0,23,0,0,0,0,0,15,0,38,0,8,0,0,0,0,46,23,77,0,15,15,0,0,0,0,0,38,0,0,0
"7",7,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,50,10,30,10,0,20,0,0,0,0,0,30,0,0,0
"8",8,31,8,0,0,0,0,8,0,0,8,31,0,0,0,0,8,0,0,31,0,15,0,0,0,0,0,46,0,0,0,0,0,0,54,46,77,8,23,15,0,0,0,0,0,8,0,0,0
"9",9,23,8,0,0,0,0,15,0,0,8,23,0,0,0,0,8,0,0,31,0,0,0,8,0,8,0,46,0,8,0,0,0,0,54,23,62,38,31,0,0,0,0,0,0,23,0,0,0
"10",10,17,0,0,0,0,0,8,0,0,8,17,0,0,0,0,0,0,0,17,0,0,0,0,0,8,0,33,0,0,0,0,0,0,67,17,58,8,17,0,0,0,0,0,0,67,0,0,0
"11",11,24,6,24,0,0,0,18,0,0,24,47,0,0,0,0,6,0,0,53,0,12,0,0,0,6,0,65,0,0,0,0,6,0,100,41,71,12,35,29,0,0,0,0,0,47,0,0,0
"12",12,26,7,4,0,4,0,19,0,0,15,44,11,0,4,0,0,0,4,33,11,15,0,0,0,4,7,52,0,0,0,4,4,7,59,22,74,19,15,41,0,0,0,0,0,33,0,0,0
"13",13,14,0,0,0,0,0,0,0,0,14,21,0,0,0,0,7,0,0,29,7,14,0,0,0,7,0,43,0,7,7,14,0,0,86,14,71,0,7,21,0,0,0,0,0,36,0,0,0
"14",14,29,6,6,0,0,6,18,0,0,0,47,0,0,0,0,0,0,0,29,6,6,0,0,0,6,0,29,0,6,0,12,12,0,82,0,65,6,0,6,0,0,0,0,0,18,18,0,0
"15",15,28,17,0,0,0,0,17,0,0,28,33,0,0,6,0,0,0,0,33,17,17,0,0,6,0,0,44,0,11,22,33,6,0,67,6,39,17,0,28,0,0,0,0,0,22,28,6,0
"16",16,12,28,0,0,0,0,32,0,4,16,36,0,0,0,4,4,0,0,28,12,24,0,0,0,8,0,48,8,8,8,28,8,0,68,0,44,24,4,24,8,28,0,0,0,28,48,12,0
"17",17,30,20,0,0,0,0,50,0,0,30,30,0,30,0,0,0,0,0,50,10,20,10,0,0,20,0,60,10,10,0,50,40,0,70,0,70,20,10,60,20,70,0,0,0,70,60,10,0
"18",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,0,0,0,0,0,0,50,0,100,0,0,0,0,50,0,0,0,0,100,0,0
"19",19,0,0,0,0,0,0,0,0,0,67,67,0,100,0,0,0,0,0,67,0,33,0,0,0,0,0,67,33,0,33,67,33,0,100,0,67,67,0,100,67,100,0,0,0,100,100,0,0
"20",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",21,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,50,50,0,0,50,0,0,50,0,50,0,0,0,50,50,0,0,0,50,50,0,0
"22",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0
"23",23,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"24",24,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",26,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
"27",27,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,50,25,0,0,0,0,50,0,100,75,0,25,50,0,25,25,0,0,0,0,0,0,100,0,0,0,25,25,0,0
"28",28,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,100,0,0,50,0,0,0,50,0,50,50,0,0,0,50,0,0,0,50,0,0,0
"29",29,0,0,0,0,0,0,0,0,0,0,67,0,100,0,0,0,0,0,0,0,33,33,0,0,33,0,100,33,0,0,67,0,0,67,0,67,0,0,0,33,67,0,0,0,33,33,0,0
"30",30,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,0,100,0,100,0,100,0,0,0,0,100,0,0,0
"31",31,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,100,0,50,0,0,0,50,0,100,100,0,0,50,0,0,100,0,100,0,0,0,50,100,0,0,0,0,0,0,0
"32",32,22,0,0,0,0,0,11,0,0,33,33,0,11,0,0,0,0,0,22,33,33,0,0,0,11,0,78,44,0,22,89,11,0,100,0,100,67,11,44,89,44,0,0,0,67,33,11,0
"33",33,0,0,0,0,0,0,20,0,20,20,20,0,0,0,0,0,0,0,40,0,20,0,0,0,40,0,100,80,0,20,100,0,0,100,0,80,20,20,60,80,80,0,0,20,100,20,0,0
"34",34,25,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,50,25,50,0,0,0,0,0,75,75,0,25,50,0,25,75,0,100,50,0,50,75,75,0,0,25,75,25,0,0
"35",35,27,40,7,0,0,0,7,0,0,27,33,0,0,0,0,13,13,0,47,7,7,0,0,0,27,0,47,47,7,13,67,13,7,80,0,67,33,7,67,87,53,33,40,27,87,0,0,0
"36",36,25,25,0,0,0,0,17,0,0,33,17,0,0,0,0,8,0,0,17,0,8,0,0,0,0,0,8,33,0,17,42,17,25,83,0,67,25,8,67,83,17,17,8,25,100,0,0,0
"37",37,40,20,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,0,0,0,0,0,100,0,100,20,80,40,100,20,0,0,0,100,0,0,0
"38",38,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,80,0,20,0,0,0,0,0,40,20,0,20,20,0,20,100,20,80,0,40,20,80,20,0,0,0,100,0,0,0
"39",39,0,0,0,0,0,0,0,0,14,86,71,57,0,0,0,29,0,0,29,0,29,0,0,0,0,0,29,86,0,0,14,14,0,100,71,86,57,86,57,57,0,0,0,0,100,0,0,0
"40",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,100,100,100,0,100,0,0,0,0,0,0,100,0,0,0
"41",41,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,100,0,0,0,0,0,0,100,50,50,0,100,100,0,0,0,0,0,50,0,0,0
"42",42,50,50,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,50,0,0,0,0,0,0,100,50,50,50,50,50,0,0,0,0,0,100,0,0,0
"43",43,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,50,0,0,0,0,100,0,0,0,0,0,50,0,50,0,0,0,0,100,100,100,0,50,0,0,0,0,0,0,100,0,0,0
"44",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,0,100,0,0,0
"46",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,50,0,100,0,0,0,0,0,0,100,50,100,50,50,0,0,0,0,0,0,100,0,0,0
"47",47,50,0,0,50,0,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,100,50,50,0,50,0,0,0,0,0,0,50,0,0,50
"48",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
